number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
32,0.816208984875673,2025-09-19 01:53:36.919415,2025-09-19 01:53:37.431128,0 days 00:00:00.511713,balanced,0.6247039395603367,0.009675698235852723,16,68,0.2905933226789949,2021,56,5.2021325300858725e-08,0.35715880288448343,0.7692907810212645,,PRUNED
33,0.8031674570622918,2025-09-19 01:53:37.462462,2025-09-19 01:53:37.729817,0 days 00:00:00.267355,balanced,0.6838291135689292,0.020861728949556683,16,94,0.0009541405898226829,1424,84,5.080353404484312e-07,2.059542094091099,0.8213737775383672,,PRUNED
34,0.7974798128684952,2025-09-19 01:53:37.760945,2025-09-19 01:53:37.976974,0 days 00:00:00.216029,,0.6315421995094875,0.015408055091256938,4,62,0.7264698502842479,1077,31,2.850872316542859e-08,0.00022331890924988452,0.6948723108422953,,PRUNED
35,0.8065800435785696,2025-09-19 01:53:38.008931,2025-09-19 01:53:38.350119,0 days 00:00:00.341188,balanced,0.6812669891941978,0.007911293466589179,16,104,3.227784990913964,1613,48,2.149526984457631e-06,0.32430818525816013,0.7341962851115523,,PRUNED
36,0.8196776467572418,2025-09-19 01:53:38.380539,2025-09-19 01:53:38.943547,0 days 00:00:00.563008,balanced,0.7348951503288956,0.013028370599791748,8,49,1.0177695915298959,1850,65,2.783237280450888e-05,0.15314164998117996,0.6423468539057774,,PRUNED
37,0.8803928479876955,2025-09-19 01:53:38.975734,2025-09-19 01:53:45.334514,0 days 00:00:06.358780,balanced,0.6548253286639159,0.0318115909088558,14,76,0.5921590697908288,2101,28,1.5760794325376797e-07,1.1075165568803442,0.7921649379757065,294.0,COMPLETE
38,0.794868302999231,2025-09-19 01:53:45.382037,2025-09-19 01:53:45.578280,0 days 00:00:00.196243,,0.6977601552132503,0.023260551209756314,12,134,1.3114160276803122,1257,48,5.659998569127107e-08,3.104346974706891e-05,0.7040673131694861,,PRUNED
39,0.800531914893617,2025-09-19 01:53:45.609054,2025-09-19 01:53:45.843191,0 days 00:00:00.234137,balanced,0.7850399716706998,0.0555139948683457,10,65,0.3070352769045103,1725,41,1.5066007355372816e-05,7.3527832102276705,0.9000436486963355,,PRUNED
40,0.7971513714432197,2025-09-19 01:53:45.873413,2025-09-19 01:53:46.068829,0 days 00:00:00.195416,balanced,0.6146661339364881,0.07692711389641932,6,110,0.9426958257709103,1534,159,9.440093137391225e-07,0.0305635913994969,0.9505310442810737,,PRUNED
41,0.8239233529864137,2025-09-19 01:53:46.099844,2025-09-19 01:53:46.816358,0 days 00:00:00.716514,balanced,0.6478751689553025,0.017787721833547647,16,72,0.31050918266028615,1605,26,1.8160540119472063e-07,0.30213494738142904,0.6527296606305293,,PRUNED
42,0.8007882594206613,2025-09-19 01:53:46.847210,2025-09-19 01:53:47.044462,0 days 00:00:00.197252,balanced,0.6647669961003422,0.028600324315000945,16,98,0.3173785708466486,1906,37,2.532921720518972e-07,6.518654967772179e-06,0.6661746672476667,,PRUNED
43,0.8121154832094335,2025-09-19 01:53:47.172130,2025-09-19 01:53:47.515099,0 days 00:00:00.342969,balanced,0.647766743215166,0.015731321873515645,16,85,0.5692927963847183,1450,15,2.9882694964767e-08,0.07632443987318542,0.6044960766620009,,PRUNED
44,0.7777332735196103,2025-09-19 01:53:47.546146,2025-09-19 01:53:47.716031,0 days 00:00:00.169885,balanced,0.6009236012210614,0.04580359249612372,4,49,0.22358209191237916,1358,61,4.2332127339064584e-07,0.6228416594044851,0.6740934797824157,,PRUNED
45,0.8803095360164062,2025-09-19 01:53:47.747016,2025-09-19 01:53:56.323026,0 days 00:00:08.576010,balanced,0.7419043281385588,0.03342026252748991,-1,39,0.6214229025048055,1213,113,1.6521802504162286e-06,0.009867019020577638,0.6279014943424291,177.6,COMPLETE
46,0.8076294539861574,2025-09-19 01:53:56.366443,2025-09-19 01:53:56.667729,0 days 00:00:00.301286,balanced,0.6938491755653782,0.022333357155873316,16,23,2.6806282505291756,1714,80,0.00017370408317901836,4.167976967402796,0.7457074433756071,,PRUNED
