number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
12,0.8786817482696744,2025-09-12 15:51:39.223425,2025-09-12 15:53:48.199823,0 days 00:02:08.976398,,0.8534378875824882,0.005614260944182384,8,69,0.36116014544232744,2677,143,0.01082217088048266,0.0013881286082139,0.8335615599282598,1440.0,COMPLETE
13,0.8253973340169187,2025-09-12 15:51:41.407898,2025-09-12 15:51:45.105746,0 days 00:00:03.697848,balanced,0.9415429082871756,0.016427169066893652,8,29,3.890906564388729,2038,187,0.1690160360256418,8.636335889609493e-05,0.9443078213122235,,PRUNED
14,0.8111141374006665,2025-09-12 15:51:43.793516,2025-09-12 15:51:47.595862,0 days 00:00:03.802346,balanced,0.8844852589509045,0.005031971909185437,8,197,0.9155981934177535,1480,26,8.978866585839924,9.709098174049464,0.9809429495802132,,PRUNED
15,0.8366284286080492,2025-09-12 15:51:45.213463,2025-09-12 15:51:46.814204,0 days 00:00:01.600741,,0.8861655279106138,0.15199991202679777,12,184,1.8846504206438308,1441,22,0.0007795224031762963,0.08665532183260412,0.7204887899881675,,PRUNED
16,0.8195334529607795,2025-09-12 15:51:46.997679,2025-09-12 15:51:48.603810,0 days 00:00:01.606131,,0.8809676595409677,0.05395949049774547,16,184,2.3877000911659185,1773,135,8.846084823413797,4.9668313010554614,0.7104547543167039,,PRUNED
17,0.8634548833632401,2025-09-12 15:51:47.716848,2025-09-12 15:51:57.307460,0 days 00:00:09.590612,,0.9934731154162428,0.052352785405616824,16,171,2.5088706594620707,400,138,0.0003810129509242928,0.006404243129788632,0.6894263031757236,124.4,COMPLETE
18,0.8736766213791336,2025-09-12 15:51:48.713613,2025-09-12 15:52:01.797276,0 days 00:00:13.083663,,0.9935256082066243,0.05387997124392489,12,73,1.4112500237467098,567,253,0.00018937975252737385,0.005375771403378073,0.7678403509877963,115.4,COMPLETE
19,0.8382946680338376,2025-09-12 15:51:57.501959,2025-09-12 15:52:08.003057,0 days 00:00:10.501098,,0.9281022218392272,0.006239612452566251,4,81,1.284808849390365,1081,84,7.914899702448369e-07,0.007579675360576877,0.7792517169638286,,PRUNED
20,0.8770411432965906,2025-09-12 15:52:01.993330,2025-09-12 15:53:12.198581,0 days 00:01:10.205251,,0.938638666013085,0.008311539508490635,12,62,1.1977147100837118,980,243,6.112814875389526e-07,0.001434248652603569,0.7864839976297764,663.8,COMPLETE
21,0.8399448859266854,2025-09-12 15:52:08.114621,2025-09-12 15:52:11.395290,0 days 00:00:03.280669,,0.8370621511374691,0.10396498375673714,12,45,0.2425175630167855,551,251,0.0033293971468673646,0.213480469457315,0.7850494107373973,,PRUNED
