number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
83,0.8866925147398103,2025-09-12 16:40:29.740814,2025-09-12 16:41:18.602144,0 days 00:00:48.861330,False,balanced,entropy,,0.8,1,3,1512,COMPLETE
84,0.8865995898487566,2025-09-12 16:40:46.079938,2025-09-12 16:41:34.287049,0 days 00:00:48.207111,False,balanced,entropy,,0.8,1,3,1514,COMPLETE
85,0.8866380415278133,2025-09-12 16:40:49.573413,2025-09-12 16:41:40.755275,0 days 00:00:51.181862,False,balanced,entropy,,0.8,1,3,1568,COMPLETE
86,0.886734170725455,2025-09-12 16:40:56.326127,2025-09-12 16:41:44.726365,0 days 00:00:48.400238,False,balanced,entropy,,0.8,1,3,1535,COMPLETE
87,0.8352826198410664,2025-09-12 16:41:03.494792,2025-09-12 16:41:13.017929,0 days 00:00:09.523137,False,balanced,entropy,,0.8,18,3,1528,PRUNED
88,0.8829242501922584,2025-09-12 16:41:13.349959,2025-09-12 16:42:06.940048,0 days 00:00:53.590089,False,balanced,entropy,,0.8,3,3,1703,COMPLETE
89,0.8829627018713151,2025-09-12 16:41:19.457354,2025-09-12 16:42:13.012510,0 days 00:00:53.555156,False,balanced,entropy,,0.8,3,3,1714,COMPLETE
90,0.8829306588054345,2025-09-12 16:41:34.508127,2025-09-12 16:42:26.234205,0 days 00:00:51.726078,False,balanced,entropy,,0.8,3,3,1729,COMPLETE
91,0.8829434760317867,2025-09-12 16:41:41.603696,2025-09-12 16:42:34.287126,0 days 00:00:52.683430,False,balanced,entropy,,0.8,3,3,1693,COMPLETE
92,0.8829498846449628,2025-09-12 16:41:45.615730,2025-09-12 16:42:41.251815,0 days 00:00:55.636085,False,balanced,entropy,,0.8,3,3,1712,COMPLETE
93,0.8464976928992566,2025-09-12 16:42:07.729728,2025-09-12 16:42:19.149293,0 days 00:00:11.419565,False,balanced,entropy,,0.8,9,3,1797,PRUNED
94,0.8478595231991797,2025-09-12 16:42:13.189265,2025-09-12 16:42:24.912830,0 days 00:00:11.723565,False,balanced,entropy,,0.8,8,3,1830,PRUNED
95,0.8852217380158933,2025-09-12 16:42:19.611218,2025-09-12 16:42:58.157810,0 days 00:00:38.546592,False,balanced,entropy,,0.8,2,4,1439,COMPLETE
96,0.885263394001538,2025-09-12 16:42:25.454454,2025-09-12 16:43:01.402574,0 days 00:00:35.948120,False,balanced,entropy,,0.8,2,4,1448,COMPLETE
97,0.8852473724685979,2025-09-12 16:42:26.996535,2025-09-12 16:43:03.554562,0 days 00:00:36.558027,False,balanced,entropy,,0.8,2,4,1424,COMPLETE
98,0.8495578056908484,2025-09-12 16:42:34.452866,2025-09-12 16:42:43.505599,0 days 00:00:09.052733,False,balanced,entropy,,0.8,2,24,1430,PRUNED
99,0.8852345552422456,2025-09-12 16:42:41.641588,2025-09-12 16:43:05.610616,0 days 00:00:23.969028,False,balanced,entropy,,0.8,2,4,1450,COMPLETE
