number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
63,0.8525398892868772,2025-09-11 13:30:36.599839,2025-09-11 13:30:41.322678,0 days 00:00:04.722839,False,,gini,32.0,log2,1,13,1039,PRUNED
64,0.8813052880018217,2025-09-11 13:30:41.367434,2025-09-11 13:31:02.714807,0 days 00:00:21.347373,False,,entropy,,1.0,2,6,569,COMPLETE
65,0.8815317198223935,2025-09-11 13:30:41.448540,2025-09-11 13:31:09.914679,0 days 00:00:28.466139,False,,entropy,,1.0,2,6,886,COMPLETE
66,0.8814176674987113,2025-09-11 13:30:41.830715,2025-09-11 13:31:07.943644,0 days 00:00:26.112929,False,,entropy,,1.0,2,6,873,COMPLETE
67,0.8817414410405299,2025-09-11 13:30:50.699074,2025-09-11 13:31:10.007972,0 days 00:00:19.308898,False,,entropy,32.0,1.0,2,8,581,COMPLETE
68,0.8705796157603387,2025-09-11 13:31:03.227085,2025-09-11 13:31:07.602593,0 days 00:00:04.375508,False,,entropy,32.0,1.0,2,24,616,PRUNED
69,0.8799434075947203,2025-09-11 13:31:07.905450,2025-09-11 13:31:36.203991,0 days 00:00:28.298541,False,balanced,entropy,32.0,1.0,2,8,880,COMPLETE
70,0.8780177109346627,2025-09-11 13:31:08.574030,2025-09-11 13:31:36.435506,0 days 00:00:27.861476,False,balanced,entropy,32.0,1.0,1,12,869,COMPLETE
71,0.8779823050594823,2025-09-11 13:31:11.133048,2025-09-11 13:31:46.832433,0 days 00:00:35.699385,False,balanced,entropy,32.0,1.0,1,12,1284,COMPLETE
72,0.8692119830674049,2025-09-11 13:31:11.463245,2025-09-11 13:31:18.367582,0 days 00:00:06.904337,False,balanced,entropy,32.0,1.0,1,18,1257,PRUNED
73,0.8698143927059588,2025-09-11 13:31:18.294333,2025-09-11 13:31:24.873355,0 days 00:00:06.579022,False,balanced,entropy,32.0,1.0,1,17,882,PRUNED
74,0.8709866492999023,2025-09-11 13:31:19.162552,2025-09-11 13:31:26.863422,0 days 00:00:07.700870,False,balanced,entropy,32.0,0.5,1,12,914,PRUNED
75,0.8772091771739051,2025-09-11 13:31:25.144277,2025-09-11 13:31:47.426789,0 days 00:00:22.282512,False,,entropy,32.0,1.0,4,12,682,COMPLETE
76,0.8777275918456644,2025-09-11 13:31:27.978237,2025-09-11 13:31:51.927618,0 days 00:00:23.949381,False,,entropy,32.0,1.0,4,9,816,COMPLETE
77,0.8512699446434389,2025-09-11 13:31:36.505932,2025-09-11 13:31:40.629924,0 days 00:00:04.123992,False,,entropy,8.0,1.0,4,9,677,PRUNED
