number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
75,0.9138488414500288,2025-09-18 17:45:00.986097,2025-09-18 17:45:10.867208,0 days 00:00:09.881111,False,balanced,gini,24.0,0.8,4,3,1490,COMPLETE
76,0.908657541583746,2025-09-18 17:45:10.888634,2025-09-18 17:45:22.784444,0 days 00:00:11.895810,False,,entropy,24.0,1.0,10,5,1873,COMPLETE
77,0.9169170814539817,2025-09-18 17:45:22.807407,2025-09-18 17:45:28.992535,0 days 00:00:06.185128,False,balanced,gini,24.0,0.8,2,3,833,COMPLETE
78,0.9207354708767825,2025-09-18 17:45:29.013813,2025-09-18 17:45:34.230940,0 days 00:00:05.217127,True,balanced,entropy,24.0,0.8,1,13,846,PRUNED
79,0.9166307796977557,2025-09-18 17:45:34.249599,2025-09-18 17:45:39.342897,0 days 00:00:05.093298,False,balanced,gini,24.0,0.8,2,4,710,COMPLETE
80,0.8977403404063949,2025-09-18 17:45:39.362912,2025-09-18 17:45:43.922569,0 days 00:00:04.559657,False,balanced,entropy,24.0,0.8,19,9,721,COMPLETE
81,0.9164904046289172,2025-09-18 17:45:43.942721,2025-09-18 17:45:48.590197,0 days 00:00:04.647476,False,balanced,gini,24.0,0.8,2,4,618,COMPLETE
82,0.9152200676423285,2025-09-18 17:45:48.610420,2025-09-18 17:45:54.650683,0 days 00:00:06.040263,False,balanced,gini,24.0,0.8,1,6,823,COMPLETE
83,0.9135009577922444,2025-09-18 17:45:54.671682,2025-09-18 17:46:00.922482,0 days 00:00:06.250800,False,balanced,gini,,0.8,4,3,907,COMPLETE
84,0.9191924113959004,2025-09-18 17:46:00.944358,2025-09-18 17:46:09.525029,0 days 00:00:08.580671,False,balanced,gini,24.0,0.8,2,23,1617,PRUNED
85,0.9147267131091368,2025-09-18 17:46:09.544197,2025-09-18 17:46:15.028880,0 days 00:00:05.484683,False,balanced,gini,24.0,0.8,3,7,773,COMPLETE
86,0.9163944780510136,2025-09-18 17:46:15.049893,2025-09-18 17:46:20.017955,0 days 00:00:04.968062,False,balanced,gini,24.0,0.8,2,4,675,COMPLETE
87,0.9164094373897607,2025-09-18 17:46:20.039827,2025-09-18 17:46:27.071855,0 days 00:00:07.032028,False,balanced,gini,24.0,0.8,1,2,953,COMPLETE
88,0.9169434367798039,2025-09-18 17:46:27.093524,2025-09-18 17:46:34.243100,0 days 00:00:07.149576,False,balanced,entropy,24.0,0.8,3,6,1050,COMPLETE
89,0.909739141734074,2025-09-18 17:46:34.264181,2025-09-18 17:46:39.345560,0 days 00:00:05.081379,False,balanced,entropy,8.0,0.8,8,8,990,PRUNED
90,0.9218562193418445,2025-09-18 17:46:39.363665,2025-09-18 17:46:45.871105,0 days 00:00:06.507440,True,balanced,entropy,32.0,0.8,3,11,1066,PRUNED
91,0.9182449200368378,2025-09-18 17:46:45.890287,2025-09-18 17:46:52.040961,0 days 00:00:06.150674,False,balanced,entropy,24.0,0.8,2,5,872,COMPLETE
92,0.9170589416934393,2025-09-18 17:46:52.064526,2025-09-18 17:46:58.515121,0 days 00:00:06.450595,False,balanced,entropy,24.0,0.8,1,6,875,COMPLETE
93,0.9179850952550248,2025-09-18 17:46:58.536381,2025-09-18 17:47:05.956178,0 days 00:00:07.419797,False,balanced,entropy,24.0,0.8,1,5,1049,COMPLETE
94,0.9171727944076513,2025-09-18 17:47:05.978867,2025-09-18 17:47:13.319810,0 days 00:00:07.340943,False,balanced,entropy,24.0,0.8,1,7,1040,COMPLETE
95,0.9172577568509762,2025-09-18 17:47:13.344212,2025-09-18 17:47:21.580802,0 days 00:00:08.236590,False,balanced,entropy,24.0,0.8,1,6,1180,COMPLETE
96,0.9155008647469398,2025-09-18 17:47:21.602384,2025-09-18 17:47:29.744872,0 days 00:00:08.142488,False,balanced,entropy,16.0,0.8,1,10,1167,COMPLETE
97,0.9169769086539571,2025-09-18 17:47:29.766533,2025-09-18 17:47:37.396675,0 days 00:00:07.630142,False,balanced,entropy,24.0,0.8,1,8,1110,COMPLETE
98,0.9130062304282625,2025-09-18 17:47:37.418296,2025-09-18 17:47:46.055139,0 days 00:00:08.636843,False,balanced,entropy,,0.8,1,18,1282,COMPLETE
99,0.9166144885185045,2025-09-18 17:47:46.077822,2025-09-18 17:47:54.269552,0 days 00:00:08.191730,False,balanced,entropy,24.0,0.8,1,9,1213,COMPLETE
100,0.916789282733782,2025-09-18 18:46:25.603465,2025-09-18 18:46:31.771798,0 days 00:00:06.168333,False,balanced,entropy,24.0,0.8,1,7,879,COMPLETE
101,0.917975628455924,2025-09-18 18:46:31.794829,2025-09-18 18:46:39.447322,0 days 00:00:07.652493,False,balanced,entropy,24.0,0.8,1,5,1109,COMPLETE
102,0.917975628455924,2025-09-18 18:46:39.468897,2025-09-18 18:46:47.161590,0 days 00:00:07.692693,False,balanced,entropy,24.0,0.8,1,5,1109,COMPLETE
103,0.9182778984408385,2025-09-18 18:46:47.182683,2025-09-18 18:46:54.756783,0 days 00:00:07.574100,False,balanced,entropy,24.0,0.8,2,5,1102,COMPLETE
104,0.9186352168459644,2025-09-18 18:46:54.777412,2025-09-18 18:47:01.952133,0 days 00:00:07.174721,False,balanced,entropy,24.0,0.5,2,5,1136,COMPLETE
105,0.9183168352985875,2025-09-18 18:47:01.972568,2025-09-18 18:47:11.000539,0 days 00:00:09.027971,False,balanced,entropy,24.0,0.8,2,5,1368,COMPLETE
106,0.9170476662442499,2025-09-18 18:47:11.021344,2025-09-18 18:47:18.368854,0 days 00:00:07.347510,False,balanced,entropy,24.0,0.8,3,5,1094,COMPLETE
107,0.8829061494980995,2025-09-18 18:47:18.389122,2025-09-18 18:47:23.017275,0 days 00:00:04.628153,False,balanced,entropy,24.0,log2,2,29,1368,PRUNED
108,0.9140591134718272,2025-09-18 18:47:23.036737,2025-09-18 18:47:31.426826,0 days 00:00:08.390089,True,balanced,entropy,24.0,0.5,2,4,1128,COMPLETE
109,0.906478598262966,2025-09-18 18:47:31.448281,2025-09-18 18:47:38.755617,0 days 00:00:07.307336,False,balanced,entropy,24.0,sqrt,4,5,1266,COMPLETE
110,0.9141246792060553,2025-09-18 18:47:38.776491,2025-09-18 18:47:44.826846,0 days 00:00:06.050355,False,balanced,entropy,12.0,0.8,3,46,1201,PRUNED
111,0.9183037716151166,2025-09-18 18:47:44.843093,2025-09-18 18:47:52.712149,0 days 00:00:07.869056,False,balanced,entropy,24.0,0.8,2,5,1178,COMPLETE
112,0.9185057187478449,2025-09-18 18:47:52.732309,2025-09-18 18:48:02.449323,0 days 00:00:09.717014,False,balanced,entropy,24.0,0.8,2,5,1426,COMPLETE
113,0.9185285035288617,2025-09-18 18:48:02.470201,2025-09-18 18:48:12.061672,0 days 00:00:09.591471,False,balanced,entropy,24.0,0.8,2,5,1438,COMPLETE
114,0.9167343011674044,2025-09-18 18:48:12.083774,2025-09-18 18:48:21.705181,0 days 00:00:09.621407,False,balanced,entropy,24.0,0.8,2,8,1437,COMPLETE
115,0.9169563991247098,2025-09-18 18:48:21.725909,2025-09-18 18:48:31.561336,0 days 00:00:09.835427,False,balanced,entropy,24.0,0.8,3,2,1470,COMPLETE
116,0.915016751804284,2025-09-18 18:48:31.582561,2025-09-18 18:48:41.982516,0 days 00:00:10.399955,False,balanced,entropy,24.0,0.8,4,5,1603,COMPLETE
117,0.898200379410318,2025-09-18 18:48:42.003883,2025-09-18 18:48:51.239627,0 days 00:00:09.235744,False,balanced,entropy,8.0,0.8,15,4,1543,COMPLETE
118,0.9160558789310068,2025-09-18 18:48:51.261370,2025-09-18 18:49:00.369456,0 days 00:00:09.108086,False,balanced,entropy,16.0,0.8,3,7,1364,COMPLETE
119,0.9181119800240743,2025-09-18 18:49:00.389889,2025-09-18 18:49:09.717896,0 days 00:00:09.328007,False,balanced,entropy,24.0,0.8,2,3,1394,COMPLETE
120,0.9180419393142148,2025-09-18 18:49:09.738478,2025-09-18 18:49:19.045702,0 days 00:00:09.307224,False,balanced,entropy,32.0,0.8,2,3,1395,COMPLETE
121,0.9180483184605238,2025-09-18 18:49:19.067514,2025-09-18 18:49:28.329873,0 days 00:00:09.262359,False,balanced,entropy,32.0,0.8,2,3,1385,COMPLETE
122,0.9180891110410767,2025-09-18 18:49:28.349513,2025-09-18 18:49:37.693024,0 days 00:00:09.343511,False,balanced,entropy,32.0,0.8,2,3,1388,COMPLETE
123,0.9169204199144328,2025-09-18 18:49:37.712738,2025-09-18 18:49:47.009623,0 days 00:00:09.296885,False,balanced,entropy,32.0,0.8,3,3,1404,COMPLETE
124,0.9179912065628717,2025-09-18 18:49:47.030156,2025-09-18 18:49:56.095330,0 days 00:00:09.065174,False,balanced,entropy,32.0,0.8,2,2,1344,COMPLETE
125,0.9181868511350124,2025-09-18 18:49:56.116167,2025-09-18 18:50:06.229212,0 days 00:00:10.113045,False,balanced,entropy,32.0,0.8,2,3,1492,COMPLETE
126,0.9168912294359801,2025-09-18 18:50:06.248634,2025-09-18 18:50:16.439287,0 days 00:00:10.190653,False,balanced,entropy,32.0,0.8,3,2,1511,COMPLETE
127,0.9149938997463076,2025-09-18 18:50:16.459462,2025-09-18 18:50:25.987242,0 days 00:00:09.527780,False,balanced,entropy,32.0,0.8,4,3,1445,COMPLETE
128,0.9180077042273826,2025-09-18 18:50:26.007382,2025-09-18 18:50:34.849426,0 days 00:00:08.842044,False,balanced,entropy,32.0,0.8,2,4,1311,COMPLETE
129,0.9142967246920923,2025-09-18 18:50:34.870703,2025-09-18 18:50:44.721075,0 days 00:00:09.850372,False,balanced,entropy,32.0,0.8,5,4,1538,COMPLETE
130,0.9229769678069064,2025-09-18 18:50:44.741986,2025-09-18 18:50:54.667948,0 days 00:00:09.925962,True,balanced,entropy,32.0,0.8,3,6,1688,PRUNED
131,0.918128081643087,2025-09-18 18:50:54.687752,2025-09-18 18:51:04.414256,0 days 00:00:09.726504,False,balanced,entropy,32.0,0.8,2,3,1406,COMPLETE
132,0.9181086394479955,2025-09-18 18:51:04.434162,2025-09-18 18:51:14.849128,0 days 00:00:10.414966,False,balanced,entropy,32.0,0.8,2,2,1562,COMPLETE
133,0.9181118395463976,2025-09-18 18:51:14.869819,2025-09-18 18:51:25.306394,0 days 00:00:10.436575,False,balanced,entropy,32.0,0.8,2,2,1559,COMPLETE
134,0.9181151752565329,2025-09-18 18:51:25.325711,2025-09-18 18:51:35.363227,0 days 00:00:10.037516,False,balanced,entropy,32.0,0.8,2,2,1470,COMPLETE
135,0.9169335805994321,2025-09-18 18:51:35.383428,2025-09-18 18:51:45.372820,0 days 00:00:09.989392,False,balanced,entropy,32.0,0.8,3,2,1489,COMPLETE
136,0.9181410722316222,2025-09-18 18:51:45.392074,2025-09-18 18:51:55.957348,0 days 00:00:10.565274,False,balanced,entropy,32.0,0.8,2,4,1578,COMPLETE
