number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
47,0.8560273006921302,2025-09-18 17:33:22.474313,2025-09-18 17:33:33.269382,0 days 00:00:10.795069,False,balanced,entropy,16.0,log2,2,5,1928,COMPLETE
48,0.8699147654447577,2025-09-18 17:33:33.290027,2025-09-18 17:33:48.490212,0 days 00:00:15.200185,True,,entropy,16.0,1.0,3,13,1989,COMPLETE
49,0.8667809536016406,2025-09-18 17:33:48.510966,2025-09-18 17:33:56.351495,0 days 00:00:07.840529,False,balanced,gini,16.0,sqrt,2,18,1410,PRUNED
50,0.8696263778518329,2025-09-18 17:33:56.367747,2025-09-18 17:34:07.596652,0 days 00:00:11.228905,False,balanced,entropy,16.0,1.0,5,22,1686,COMPLETE
51,0.8787362214816714,2025-09-18 17:34:07.617954,2025-09-18 17:34:20.727584,0 days 00:00:13.109630,False,balanced,entropy,,1.0,4,3,1898,COMPLETE
52,0.8805594719302743,2025-09-18 17:34:20.749345,2025-09-18 17:34:33.989599,0 days 00:00:13.240254,False,balanced,entropy,,1.0,3,2,1871,COMPLETE
53,0.8809760317867212,2025-09-18 17:34:34.010464,2025-09-18 17:34:38.416170,0 days 00:00:04.405706,False,balanced,entropy,,1.0,3,7,561,COMPLETE
54,0.8818347859523199,2025-09-18 17:34:38.437871,2025-09-18 17:34:41.481338,0 days 00:00:03.043467,False,balanced,entropy,24.0,0.5,2,2,419,COMPLETE
55,0.8816168931043322,2025-09-18 17:34:41.501431,2025-09-18 17:34:45.091858,0 days 00:00:03.590427,False,balanced,entropy,24.0,0.5,2,2,496,COMPLETE
56,0.8818091514996155,2025-09-18 17:34:45.113081,2025-09-18 17:34:48.964235,0 days 00:00:03.851154,False,balanced,entropy,24.0,0.5,2,4,553,COMPLETE
57,0.8816136887977443,2025-09-18 17:34:48.985226,2025-09-18 17:34:52.665001,0 days 00:00:03.679775,False,balanced,entropy,24.0,0.5,2,5,517,COMPLETE
58,0.876945014098949,2025-09-18 17:34:52.685869,2025-09-18 17:34:56.472687,0 days 00:00:03.786818,False,balanced,entropy,24.0,0.5,2,11,541,COMPLETE
59,0.874942322481415,2025-09-18 17:34:56.493992,2025-09-18 17:34:59.795679,0 days 00:00:03.301687,True,,entropy,24.0,0.5,1,5,394,COMPLETE
60,0.869985260189695,2025-09-18 17:34:59.816696,2025-09-18 17:35:03.951066,0 days 00:00:04.134370,False,balanced,entropy,24.0,0.5,2,47,609,PRUNED
61,0.8794700076903357,2025-09-18 17:35:03.970465,2025-09-18 17:35:06.969052,0 days 00:00:02.998587,False,balanced,entropy,24.0,0.5,3,5,417,COMPLETE
62,0.8816729684696233,2025-09-18 17:35:06.990615,2025-09-18 17:35:09.012020,0 days 00:00:02.021405,False,balanced,entropy,24.0,0.5,1,4,246,COMPLETE
63,0.8807389130992054,2025-09-18 17:35:09.032665,2025-09-18 17:35:11.148023,0 days 00:00:02.115358,False,balanced,entropy,24.0,0.5,1,7,268,COMPLETE
64,0.8816425275570368,2025-09-18 17:35:11.169080,2025-09-18 17:35:14.610954,0 days 00:00:03.441874,False,balanced,entropy,24.0,0.5,2,4,483,COMPLETE
65,0.8813861830299923,2025-09-18 17:35:14.632110,2025-09-18 17:35:19.537449,0 days 00:00:04.905339,False,balanced,entropy,24.0,0.5,2,4,705,COMPLETE
66,0.8632626249679569,2025-09-18 17:35:19.558472,2025-09-18 17:35:21.886248,0 days 00:00:02.327776,False,balanced,entropy,24.0,0.5,1,33,322,COMPLETE
67,0.8795052550628043,2025-09-18 17:35:21.906744,2025-09-18 17:35:25.328267,0 days 00:00:03.421523,False,balanced,gini,24.0,0.5,2,4,486,COMPLETE
68,0.8559664188669572,2025-09-18 17:35:25.348756,2025-09-18 17:35:28.307672,0 days 00:00:02.958916,False,balanced,entropy,24.0,0.5,20,10,440,PRUNED
69,0.8611349653934888,2025-09-18 17:35:28.326578,2025-09-18 17:35:30.765955,0 days 00:00:02.439377,False,balanced,entropy,24.0,0.5,1,40,333,COMPLETE
70,0.8815143552935144,2025-09-18 17:35:30.787492,2025-09-18 17:35:36.191950,0 days 00:00:05.404458,False,balanced,entropy,24.0,0.5,2,3,775,COMPLETE
71,0.8813413227377594,2025-09-18 17:35:36.212805,2025-09-18 17:35:41.689192,0 days 00:00:05.476387,False,balanced,entropy,24.0,0.5,2,3,815,COMPLETE
72,0.8822609587285312,2025-09-18 17:35:41.709797,2025-09-18 17:35:46.476124,0 days 00:00:04.766327,False,balanced,entropy,24.0,0.5,1,6,686,COMPLETE
73,0.8802582671109972,2025-09-18 17:35:46.497304,2025-09-18 17:35:48.394239,0 days 00:00:01.896935,False,balanced,entropy,24.0,0.5,1,6,230,COMPLETE
74,0.8670853627275058,2025-09-18 17:35:48.415263,2025-09-18 17:35:51.774133,0 days 00:00:03.358870,False,balanced,entropy,24.0,0.5,13,9,502,PRUNED
