number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
30,0.8946108759361772,2025-09-19 01:22:52.135065,2025-09-19 01:22:52.943299,0 days 00:00:00.808234,,0.8225765756297219,0.1867827714128851,14,49,2.317439915975282,2877,70,7.0288192059730414e-06,0.0003575412357364849,0.6724250220354988,,PRUNED
31,0.9096938260473602,2025-09-19 01:22:52.968557,2025-09-19 01:22:57.257769,0 days 00:00:04.289212,,0.8606205632387222,0.08555387734644332,12,67,0.604279982491872,1256,255,0.010023445767777764,1.5153755297643154,0.6001595583023089,88.6,COMPLETE
32,0.8500976880494953,2025-09-19 01:22:57.290247,2025-09-19 01:22:57.489044,0 days 00:00:00.198797,,0.9538965437628124,0.031151133351528113,12,72,0.41600782076842796,408,235,0.03896447053044253,1.5713033290876564,0.6041188091331502,,PRUNED
33,0.8490638228590036,2025-09-19 01:22:57.514183,2025-09-19 01:22:57.696002,0 days 00:00:00.181819,,0.8647924972946852,0.074763229840559,12,98,0.0008157393562757027,2023,241,0.006118854170563424,9.426822788348888,0.6332031784539139,,PRUNED
34,0.9069546087748005,2025-09-19 01:22:57.721502,2025-09-19 01:23:07.566632,0 days 00:00:09.845130,,0.854896386558259,0.04903496995611102,12,59,0.6740237240416618,1189,222,0.4306546740464338,0.31689204625574335,0.7118982213772019,132.6,COMPLETE
35,0.8481846304135461,2025-09-19 01:23:07.599331,2025-09-19 01:23:07.818686,0 days 00:00:00.219355,,0.9133667789025977,0.02319048862934998,-1,69,0.2818954085658328,583,70,0.0001853789231665285,1.3260854840586154,0.6666837080674609,,PRUNED
36,0.9032032720551302,2025-09-19 01:23:07.842590,2025-09-19 01:23:12.653144,0 days 00:00:04.810554,balanced,0.8774771273817769,0.12148683594767856,8,50,2.321082980486108,1037,193,0.0008102031622664231,2.7468544582014898e-05,0.6245214582387568,33.2,COMPLETE
37,0.8484939759036144,2025-09-19 01:23:12.683614,2025-09-19 01:23:12.864275,0 days 00:00:00.180661,,0.7316280799447709,0.03931402834791947,14,106,1.0171796051703947,1410,240,2.7941237396566664e-05,0.18552866187533182,0.6993543709761926,,PRUNED
38,0.848331162487789,2025-09-19 01:23:12.888373,2025-09-19 01:23:13.100219,0 days 00:00:00.211846,balanced,0.8180864599532528,0.012133160587735375,6,90,1.4497034232547914,2564,153,0.28482238582623054,0.054171239160563996,0.7380994146718751,,PRUNED
39,0.8638147183327907,2025-09-19 01:23:13.124420,2025-09-19 01:23:13.379076,0 days 00:00:00.254656,,0.9770116511233907,0.02109881351192419,10,34,0.5649893265644937,1152,214,1.2747149483615042e-08,0.013077276029706049,0.6164246924996613,,PRUNED
40,0.8985243215676613,2025-09-19 01:23:13.403240,2025-09-19 01:23:15.381650,0 days 00:00:01.978410,balanced,0.6356314387930354,0.07060126309337023,16,17,3.195663469596708,760,193,0.00845749177171379,0.6423692695354623,0.6008161382014321,58.0,COMPLETE
41,0.909947113645478,2025-09-19 01:23:15.413385,2025-09-19 01:23:21.592534,0 days 00:00:06.179149,,0.8516636712089306,0.051425906207803275,12,64,0.2686856078665644,1189,226,0.5514376257387872,0.4117271921283748,0.7075100993971759,164.4,COMPLETE
42,0.9048436505142622,2025-09-19 01:23:21.624243,2025-09-19 01:23:29.371878,0 days 00:00:07.747635,,0.8519450270149994,0.0991094728250457,12,65,0.2304505603498348,1481,246,0.06468355920934507,1.9633192344211936,0.6439181725392441,74.2,COMPLETE
43,0.8456528817974601,2025-09-19 01:23:29.402058,2025-09-19 01:23:29.574208,0 days 00:00:00.172150,,0.9343719999375832,0.03612150833449645,12,80,0.8895843210396794,556,233,0.8516636230844892,0.08965240818144156,0.664777288239278,,PRUNED
44,0.8434060566590688,2025-09-19 01:23:29.597043,2025-09-19 01:23:29.767412,0 days 00:00:00.170369,,0.7906815751111729,0.05434104555227953,4,50,0.22393236616617918,1267,252,1.7398475132097475,1.024724867664479,0.7077177718786536,,PRUNED
45,0.8511722565939434,2025-09-19 01:23:29.869015,2025-09-19 01:23:30.081500,0 days 00:00:00.212485,,0.8392002975395605,0.006940132154020565,12,76,0.5262371101955996,1929,225,0.0037553164832614516,2.9174372013237755,0.7672651103445606,,PRUNED
46,0.83989742754803,2025-09-19 01:23:30.104918,2025-09-19 01:23:30.281921,0 days 00:00:00.177003,balanced,0.9071528183951616,0.018426894740575,12,38,1.1721764369547691,980,181,0.023199261214477202,9.926701530007636,0.6298667594859184,,PRUNED
47,0.8415337023770759,2025-09-19 01:23:30.304535,2025-09-19 01:23:30.491769,0 days 00:00:00.187234,,0.8806708576341209,0.07582943909739494,14,138,0.19937728881187036,744,134,0.001101724155549516,8.366826387101046e-07,0.7967643560835588,,PRUNED
48,0.8816509280364702,2025-09-19 01:23:30.514516,2025-09-19 01:23:30.873997,0 days 00:00:00.359481,,0.8112203270708105,0.04921574322391985,-1,25,0.5258037812743914,513,244,0.2453919598430967,0.24276691561738759,0.7253577887945307,,PRUNED
49,0.8872842722240313,2025-09-19 01:23:30.897727,2025-09-19 01:23:31.324826,0 days 00:00:00.427099,,0.9386078833791929,0.15258434564477508,10,114,0.8912718342912023,894,28,0.002709313773695985,1.9098916705587117e-05,0.8940569156668947,,PRUNED
50,0.7903777271247151,2025-09-19 01:23:31.347656,2025-09-19 01:23:31.527381,0 days 00:00:00.179725,,0.7788835578852087,0.03847613091252854,4,188,2.653167753037021,676,199,3.928473593526626,0.00010729606265395961,0.6155519536942266,,PRUNED
