number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
38,0.8701725822207749,2025-09-09 21:37:57.114996,2025-09-09 21:37:58.594235,0 days 00:00:01.479239,balanced,0.7587979683183727,0.08722647642318543,10,74,1.0321516509148614,1462,190,1.3607378307529568e-07,0.6893235724076037,0.7906435225663437,,PRUNED
39,0.8467600130250733,2025-09-09 21:37:57.638838,2025-09-09 21:37:59.601746,0 days 00:00:01.962908,balanced,0.7452877832687785,0.03726103925094604,12,36,4.850841185053523,2231,187,0.0006909819251431499,9.571455187007438e-05,0.9498000225809493,,PRUNED
40,0.8516606968414197,2025-09-09 21:37:57.722402,2025-09-09 21:38:00.397431,0 days 00:00:02.675029,balanced,0.6418300374360403,0.03340222325872937,12,39,3.906312005157545,2234,187,0.0008045690121038819,7.025680961282163e-05,0.9519931860309581,,PRUNED
41,0.8457831325301206,2025-09-09 21:37:57.931819,2025-09-09 21:38:01.181817,0 days 00:00:03.249998,balanced,0.6449324970743411,0.03617152981360198,12,38,4.8679921896149825,2205,181,0.000764820827449385,4.4318510378182484e-05,0.6090851346412706,,PRUNED
42,0.8504721589058939,2025-09-09 21:37:57.955769,2025-09-09 21:38:01.185631,0 days 00:00:03.229862,balanced,0.6457776245605377,0.04297154322407747,12,36,3.9200924613270374,2235,156,0.0005207037882539845,4.135933231145495e-05,0.9473559626597735,,PRUNED
43,0.8416313904265711,2025-09-09 21:37:58.799200,2025-09-09 21:38:01.532670,0 days 00:00:02.733470,balanced,0.6448492025826559,0.03724429346566769,6,41,4.754984002214414,2261,140,0.0007629117095903492,4.3990655595906004e-05,0.9495334381730239,,PRUNED
44,0.8635949202214264,2025-09-09 21:37:59.923634,2025-09-09 21:38:02.905921,0 days 00:00:02.982287,balanced,0.6440277444551222,0.03710128496131504,12,43,1.60118780540152,1909,157,0.008028964478459678,2.426761601364217e-05,0.9577312287718313,,PRUNED
45,0.8736957836164798,2025-09-09 21:38:00.908442,2025-09-09 21:38:41.200018,0 days 00:00:40.291576,balanced,0.6932276802206035,0.037961071256509604,8,107,0.41303480244286794,1853,156,0.008966842417529158,1.5191091206731912e-05,0.6711934148034393,343.6,COMPLETE
46,0.8684956040377727,2025-09-09 21:38:01.439026,2025-09-09 21:38:13.197250,0 days 00:00:11.758224,balanced,0.6971566700541234,0.012736992466331292,8,97,1.5404233460217238,1906,138,5.142403125541691e-07,0.00042315100465854495,0.6806071069187223,,PRUNED
47,0.8750055621437965,2025-09-09 21:38:01.469195,2025-09-09 21:40:14.516483,0 days 00:02:13.047288,balanced,0.6986004981148557,0.011880877123697984,8,67,0.4454706460992559,1890,135,0.00870916489155439,0.00036123442013307307,0.6740165437342434,822.4,COMPLETE
48,0.8637251709540866,2025-09-09 21:38:01.928910,2025-09-09 21:38:11.214779,0 days 00:00:09.285869,balanced,0.793879623345876,0.01882783374253343,8,109,1.5583847580330756,1936,117,6.545250031281672e-07,0.018556201385506513,0.688926023747921,,PRUNED
49,0.8733341257416741,2025-09-09 21:38:03.112107,2025-09-09 21:39:10.496542,0 days 00:01:07.384435,balanced,0.7957229453411577,0.018817226989578432,8,67,0.4437166240127562,1041,255,0.06989972418016503,0.017833712511360098,0.6895981707009508,510.6,COMPLETE
50,0.8708563985672422,2025-09-09 21:38:11.607620,2025-09-09 21:38:30.708707,0 days 00:00:19.101087,balanced,0.6003163725118175,0.009565912136226979,10,65,0.9442449579964571,1091,171,5.014994304274148e-06,0.005246261761052412,0.7634522544287292,,PRUNED
51,0.8693585151416475,2025-09-09 21:38:13.608515,2025-09-09 21:38:32.407879,0 days 00:00:18.799364,balanced,0.6003450497651255,0.009353425668331404,10,66,0.9362977752373262,908,165,5.157673127043577e-06,0.003684326560872058,0.7624405538074284,,PRUNED
52,0.8954292953903128,2025-09-09 21:38:30.997049,2025-09-09 21:40:59.699874,0 days 00:02:28.702825,balanced,0.6170578299773777,0.0038773524714543046,10,27,0.3930153795233487,1150,164,2.5251559079126577e-05,0.0011429254744034281,0.8182648419440515,,PRUNED
53,0.8720937179049366,2025-09-09 21:38:32.799280,2025-09-09 21:41:21.309495,0 days 00:02:48.510215,balanced,0.6266734217118612,0.004260261054425403,10,26,0.4527189274917677,1196,162,2.3392320328912147e-05,0.0010132104354000778,0.8110892781655985,805.4,COMPLETE
54,0.8685468703504122,2025-09-09 21:38:41.421403,2025-09-09 21:41:20.707019,0 days 00:02:39.285616,,0.6262622993185377,0.005066663024232538,-1,20,0.5109977710905442,1217,254,1.396769942170008e-08,0.015859280970258318,0.7309613639310387,580.8,COMPLETE
55,0.8718252578714758,2025-09-09 21:39:10.816200,2025-09-09 21:41:58.012044,0 days 00:02:47.195844,,0.621451583207897,0.003975025933492116,-1,19,0.5792777671513545,1233,167,1.5372424944371393e-08,5.159239872519168e-07,0.7384455433366212,644.6,COMPLETE
56,0.8739967561927304,2025-09-09 21:40:14.905732,2025-09-09 21:42:07.099833,0 days 00:01:52.194101,,0.6177564162153149,0.012100641955721005,-1,90,0.02692630712686106,1652,120,0.07590583794641127,8.300734341777813e-08,0.8366131445103044,798.0,COMPLETE
57,0.8685770107456854,2025-09-09 21:41:00.014106,2025-09-09 21:41:12.916844,0 days 00:00:12.902738,,0.724973467835043,0.027716806954383978,4,88,0.041789739101938506,2800,89,0.03952787848588442,1.1642719295959376e-07,0.6350497739104748,,PRUNED
58,0.8900367085729136,2025-09-09 21:41:13.302953,2025-09-09 21:41:28.592150,0 days 00:00:15.289197,,0.670870146851934,0.1299406184358687,-1,49,0.23851816819529104,1507,63,0.37472955185318063,0.046365398261414836,0.8970260288500814,,PRUNED
59,0.852979485509606,2025-09-09 21:41:21.094982,2025-09-09 21:41:25.692543,0 days 00:00:04.597561,,0.6753882635399374,0.1318887495985785,6,139,0.22499039319893105,1543,119,0.22277680055859947,0.07473648685579873,0.904116400124499,,PRUNED
60,0.8739287903847008,2025-09-09 21:41:21.907484,2025-09-09 21:44:22.412034,0 days 00:03:00.504550,balanced,0.6716649586082822,0.00661844112942463,6,50,0.798940715997132,1628,120,0.0027038367380293844,0.10928078699152163,0.7073382639793137,1229.8,COMPLETE
61,0.8721914685770107,2025-09-09 21:41:26.003057,2025-09-09 21:41:50.814238,0 days 00:00:24.811181,balanced,0.612410818321095,0.006754137533500958,10,52,0.7005711225582391,831,130,1.4697586565052459e-06,0.006404153835246457,0.9736579525735719,,PRUNED
62,0.8750410797241177,2025-09-09 21:41:28.806903,2025-09-09 21:44:46.593287,0 days 00:03:17.786384,balanced,0.6141429795752856,0.007124648802951226,10,49,0.8438278502026604,1349,133,2.0265126951169816e-06,0.008537747266703597,0.8526763336817496,869.8,COMPLETE
63,0.896874898482929,2025-09-09 21:41:51.313560,2025-09-09 21:44:44.492208,0 days 00:02:53.178648,balanced,0.6145225222298222,0.011025548477568555,8,91,0.8188048063292701,1302,16,0.002496566962776535,0.0002351840167175632,0.7070659030807944,,PRUNED
64,0.8699934874633671,2025-09-09 21:41:58.508900,2025-09-09 21:42:28.100788,0 days 00:00:29.591888,balanced,0.6569565898150795,0.007307883140768688,8,88,0.8839907396885409,1370,134,0.0022770499716302443,0.00013718536815790706,0.8446618748973235,,PRUNED
65,0.8741653998552679,2025-09-09 21:42:07.795456,2025-09-09 21:44:37.617357,0 days 00:02:29.821901,,0.7057077402665314,0.011298388775373576,-1,89,0.018055387633650513,1616,91,0.003937879730225053,1.8129981659415748e-06,0.8525909714790153,773.4,COMPLETE
66,0.866834907196353,2025-09-09 21:42:28.795130,2025-09-09 21:42:52.300423,0 days 00:00:23.505293,,0.9351928777139865,0.01124085122425916,-1,116,0.07845000748564307,1623,117,1.7901027030645054,6.661617728998624e-08,0.8426559155155317,,PRUNED
67,0.8823214111685022,2025-09-09 21:42:52.611070,2025-09-09 21:43:26.702027,0 days 00:00:34.090957,,0.8468487785489908,0.028195994328166125,16,93,0.01598196658999812,1750,146,0.00027642808305032736,4.895975728335473e-07,0.703816823175696,,PRUNED
