number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
14,0.821719309671117,2025-09-10 11:50:04.779411,2025-09-10 11:50:32.677162,0 days 00:00:27.897751,balanced,0.8217836010235343,0.0011415946066694177,4,133,0.19223440946114323,2894,250,8.59671316893376,7.829716649401046,0.9831759647139909,,PRUNED
15,0.86727276871018,2025-09-10 11:50:06.593448,2025-09-10 11:50:57.874479,0 days 00:00:51.281031,balanced,0.8454852507733983,0.027817419734124757,6,119,0.0008838754644619473,2958,156,2.837866620231658,5.802921930739439,0.8947349861995594,698.8,COMPLETE
16,0.8854237728616444,2025-09-10 11:50:16.677304,2025-09-10 11:50:42.600932,0 days 00:00:25.923628,balanced,0.824411065158207,0.023794243174464196,6,117,0.5403664773148064,2953,152,4.126997416965525,4.370203407469331,0.9150740636402025,,PRUNED
17,0.8884286781665205,2025-09-10 11:50:32.895362,2025-09-10 11:51:11.385370,0 days 00:00:38.490008,balanced,0.8854821169120203,0.027020046257806168,16,125,1.4052658767726518,2372,154,0.041172418618423696,4.259481087550306,0.9036774988224731,,PRUNED
18,0.8702434088863111,2025-09-10 11:50:42.876679,2025-09-10 11:51:16.978377,0 days 00:00:34.101698,balanced,0.8864718738774146,0.03202479584857869,16,5,1.4841197541582174,2353,16,5.750210649543204e-06,0.15987071137314016,0.6029285690382498,204.6,COMPLETE
19,0.8664685053438586,2025-09-10 11:50:47.389954,2025-09-10 11:50:59.178034,0 days 00:00:11.788080,balanced,0.7352198188872603,0.03782010158227356,16,5,1.5487156247083949,2304,146,0.003866416632967844,0.19637360502832016,0.7501104467253306,,PRUNED
20,0.8885911054802977,2025-09-10 11:50:58.080823,2025-09-10 11:51:21.581380,0 days 00:00:23.500557,balanced,0.7564942175050253,0.038982808060983434,16,139,1.2136945643129609,2649,157,0.2642294368216404,0.05763094737686757,0.9247299113397011,,PRUNED
21,0.8865445213267064,2025-09-10 11:50:59.399350,2025-09-10 11:51:25.493594,0 days 00:00:26.094244,balanced,0.7702368833699018,0.04256277164357941,4,140,1.2768196145401778,2649,172,0.2619931595043376,0.003958723798286203,0.9233941002449724,,PRUNED
22,0.8704967027255304,2025-09-10 11:51:11.502289,2025-09-10 11:51:49.418187,0 days 00:00:37.915898,balanced,0.783147803300373,0.010735914021576982,4,154,1.1204807703003534,2685,18,0.4663383550382693,0.004289813409079322,0.9380677764940177,,PRUNED
23,0.8704189228381191,2025-09-10 11:51:17.290755,2025-09-10 11:52:38.388705,0 days 00:01:21.097950,balanced,0.9946762687693134,0.010561052655882877,16,83,1.2989043577208328,2002,21,0.00025815494133969073,0.0043820372658486435,0.6059776404203481,614.8,COMPLETE
